,phrase,target
727,The customer is local company Etera Mutual Pension Insurance Co and the principal tenant of the unit will be media company Alma Media Corp HEL : ALN1V ,neutral
728, the majority of the committees ' members shall be independent of the Company ,neutral
729, research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver ,neutral
730, according to Nordea 's Economic Outlook ,neutral
731,The writing and publication of Lemmink+ï¿½inen -ï¿½ s history is a continuation of earlier collaboration between Antti Tuuri and the company ,neutral
732,No financial details were revealed ,neutral
733,Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse ,neutral
734, will report to Toivola ,neutral
735,Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 ,neutral
736,The company website is www.ahlstrom.com ,neutral
737,Le Lay succeeds Walter G++nter and will be based in Finland ,neutral
738, '' UPM said ,neutral
739,Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki ,neutral
740,Terms of the acquisition were not disclosed ,neutral
741,Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocatio,neutral
742,The customers will have an access to integrated propeller and gear packages from one source ,neutral
743, 95 % of Trainers House 's revenues are attributed to the Finnish market ,neutral
744,The plant is expected to enter commercial operation by mid-2009 ,neutral
745,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway ,neutral
746,0,neutral
747,The duration of the contract is 37 months ,neutral
748,Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter ,neutral
749,After 1 April 2007 Cencorp will not have any own employees in the territory ,neutral
750,687.15 pts ,neutral
751,Completion of the transaction is subject to a final agreement and a Due Diligence process ,neutral
752, except that it involves the merger of their stakes in VimpelCom and Kyivstar ,neutral
753, forest industry and infrastructure & environment sectors ,neutral
754, sold a 43pc stake in the company for more than pounds 900m at the time of the float ,neutral
755, controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. ,neutral
756, has been elected chairman of the Defense Credit Union Council for the 2007-2008 term ,neutral
757, Fridays and Sundays ,neutral
758, will hold onto the 25 % stake for now ,neutral
759,Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services ,neutral
760, the daily said ,neutral
761,GyPSii service supports ten different languages including Korean and Russian ,neutral
762, owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates ,neutral
763, Finland ,neutral
764, to operators and service providers ,neutral
765, power generator and hoists to customers in the construction sector ,neutral
766, Russia and Norway ,neutral
767, Section 9 of the Finnish Securities Markets Act is described below ,neutral
768, and microwave systems ,neutral
769,The order also includes start-up and commissioning services ,neutral
770, Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries ,neutral
771,This organization will assume the responsibility for operations in Russia ,neutral
772,The contract will take effect in 2009 for a five or ten year period ,neutral
773,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A ,neutral
774, in Russia ,neutral
775,Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia ,neutral
776,( The acquisition sum has not been disclosed . ,neutral
777,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices ,neutral
778,The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong ,neutral
779, modules and other industrial segment products ,neutral
780,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 ,neutral
781, a corporate function and an investment in Cencorp Corporation ,neutral
782,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate ,neutral
783,`` The issues identified by Stonesoft affect a range of content inspection technology ,neutral
784,At CapMan Haavisto will be responsible for Group Finances and Accounting and IT ,neutral
785, '' he wrote ,neutral
786, and is listed on the Nordic Exchange in Helsinki ,neutral
787,It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook ,neutral
788,No financial information was provided ,neutral
789, access code : 2659 5401 ,neutral
790, Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Close,neutral
791, of Chicago ,neutral
792,The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume ,neutral
793, would take up its entitlement in full ,neutral
794, Mid Cap and Small Cap ,neutral
795,2010,neutral
796,The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress ,neutral
797,Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) ,neutral
798,The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com ,neutral
799,The company 's model is based on developer contracting construction projects and customer focused project management ,neutral
800,Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m ,neutral
801, central trading companies and major construction firms ,neutral
802,000 tonnes and net sales of EUR 135 million in 2007 ,neutral
803,Exel wants to serve its industrial customers with individual products ,neutral
804, as 60 % of the group 's products are made in Poland and the Baltic countries ,neutral
805, said : `` A non-coherent search matrix is formed of said correlation function matrix ,neutral
806,The value of the order is EUR 4mn ,neutral
807, who wants to impress people with the latest handset ,neutral
808,2010,neutral
809,Okmetic has used the furnaces for the contract manufacturing of solar crystals ,neutral
810, the company said ,neutral
811,Financial terms were n't disclosed ,neutral
812,18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com ,neutral
813, but the success of any garden lies in how well it 's maintained ,neutral
814, it will spread also to Iran and Iraq ,neutral
815, and another for calls on other operators ' networks ,neutral
816,Closing of such transaction took place today ,neutral
817,000 square meters ,neutral
818, Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros ,neutral
819, a six-year historic analysis is provided for this market ,neutral
820,In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. ,neutral
821, calculates RVR values and provides the data to users via various interfaces ,neutral
822, a holding company wholly owned by HKScan Corporation ,neutral
823, while Cayman Islands-based Garmin is larger in the U.S. and overall ,neutral
824,The value of the orders is about EUR 25mn ,neutral
825, Sanoma Magazines expects net sales to be at the 2009 level ,neutral
826,RSA 's shares closed at 156.9 p at the time of going to press ,neutral
827,The contract has been allotted as per lowest price criteria ,neutral
828,The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 ,neutral
829, Rosberg said ,neutral
830, EUR 26.2 million ,neutral
831, and formwork with a limited number of concrete pourings ,neutral
832,000 people ,neutral
833,No financial details of the deployment were disclosed ,neutral
834, accounting for a share of 31.4 % ,neutral
835, MMS and WAP ,neutral
836,The dividends payable annually shall be deducted from the share subscription price ,neutral
837,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas ,neutral
838,The site will cover over six hectares ,neutral
839, fish and poultry market in Finland ,neutral
840, which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life ,neutral
841, is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries ,neutral
842, the same day at 12:30 - 1:30 p.m. Light lunch will be served ,neutral
843, the U.S. Patent & Trademark Office announced ,neutral
844,2009,neutral
845,The invention carries International Patent Publication No. ,neutral
846, told reporters in Helsinki ,neutral
847, while the plant in Nokia in Finland will manufacture tyres for other markets ,neutral
848,R&D Loan ) ,neutral
849,The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors ,neutral
850,Market data and analytics are derived from primary and secondary research ,neutral
851, and by utilising its existing financing facilities ,neutral
852,Terms were not disclosed ,neutral
853, Alpro 's price would be around EUR 100mn-150mn ,neutral
854,This amount will not be included in the pensionable salary ,neutral
855, said Talvivaara ,neutral
856, in September 2007 ,neutral
857,The investment would be some EUR5m ,neutral
858,In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover ,neutral
859,Affecto has participated in the program for the development of the Norwegian pension system since 2007 ,neutral
860,200-square metre technology center is located near University of Tampere in central Tampere ,neutral
861, near Mumbai ,neutral
862,Valga Lihatoostus markets its products under the Maks & Moorits trademark ,neutral
863, southern Finland ,neutral
864, max ,neutral
865, application maintenance and training ,neutral
866,The combined capital of these funds is expected to be EUR 100mn-150mn ,neutral
867, such projects are sold after 1 to 3 years after completion ,neutral
868, ' he said ,neutral
869, Director of Technopolis operations in Jyvaskyla ,neutral
870,The value of the contract is about EUR 27mn ,neutral
871,The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 ,neutral
872,The new SEPA cads will replace Finnish bank cards ,neutral
873,Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK ,neutral
874,Financial details were n't disclosed ,neutral
875, and to polytechnics to be announced later ,neutral
876, mascara and accessories ,neutral
877,The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities ,neutral
878, where she called 911 ,neutral
879,The capital structure of Solidium may be complemented by other financial instruments in the future ,neutral
880, director of marketing for Precor 's Entertainment & Services Division ,neutral
881,The measures taken will cause one-time costs during the final part of 2006 ,neutral
882, with a focus on building information modelling of steel and concrete structures from design to construction ,neutral
883, Nordea Bank Finland Plc and Pohjola Bank Plc. ,neutral
884, 10 arranged movable in relation to the smelt spouts ,neutral
885, and production could start in 2008 ,neutral
886, Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent ,neutral
887, the company said ,neutral
888,The company did not disclose the price of the acquisition ,neutral
889,- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million ,neutral
890, the report by the Board of Directors and the auditor 's report ,neutral
891, as well as sales units in Germany and Lithuania ,neutral
892,The orders also include a few high-power drives for the control of seismic compressors ,neutral
893,The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed ,neutral
894, as well as service work of the shoe press delivered by Vaahto in 2001 ,neutral
895, and the number of annual transactions stands at nearly one million ,neutral
896,000 tonnes ,neutral
897, will begin at 3:00 p.m. Finnish time ( EET ) ,neutral
898, northern Belgium ,neutral
899,500 for the other Board members ,neutral
900,A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 ,neutral
901, anglers and others who flock to his frequent seminars - is nearly over ,neutral
902,The Company turnover amounted to MEUR 27.9 in 2007 ,neutral
903,`` Directors and shareholders alike should ask why these practices were allowed to continue . ',neutral
904, the 120-meter Watchtower will be the highest building in Ireland ,neutral
905,The value of this kind of order amounts usually between Euro 2 and 3 million ,neutral
906, chairman of the supervisory board of +ï¿½lemiste City and Mainor ,neutral
907, and reel ,neutral
908, and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees ,neutral
909,The new location is n't the only change Wellmont has in store for its air transport service ,neutral
910, the report said ,neutral
911,The office space will rise above the remodeled Cannon Street underground station ,neutral
912,The total project duration is three years and it is valued at some EUR11 .5 m,neutral
913, in the immediate vicinity of Moscow Station ,neutral
914,Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros ,neutral
915, and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding ,neutral
916,It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 ,neutral
917,Exel is headquartered in Mantyharju in Finland ,neutral
918,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 ,neutral
919,The figure does not include food exports from Finland ,neutral
920, videos and blog on the Internet via mobile phones as of March 2008 ,neutral
921,Her present position is the director of Stockmann 's international department stores ,neutral
922, featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results ,neutral
923, China ,neutral
924, also known as the rubber tree ,neutral
925,523,neutral
926, Poland and Romania by the end of the first quarter of 2009 ,neutral
927, specialising in commercial properties in the largest cities in Finland and Russia ,neutral
928, in northern Sweden ,neutral
929,The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 ,neutral
930, Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings ,neutral
931, the plant will focus on the production of flange profiles for wind farm towers ,neutral
932,Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there ,neutral
933,000 customers in over 100 countries ,neutral
934,Yvonne Jones is owner of Chameleon Interiors ,neutral
935,The company will be part of Teleste 's Video and Broadband Solutions business area ,neutral
936, at 9.00 am ( EET ) ,neutral
937,Lemmink+ï¿½inen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s ,neutral
938, and the remainder to other locations ,neutral
939, and in power generation using renewable energy ,neutral
940, in the eastern part of India ,neutral
941,The Board of Directors was authorized to decide on other terms of the share issue ,neutral
942, and Websense ,neutral
943,2006,neutral
944, Finland 's Ambassador to the Czech Republic ,neutral
945, leases and builds office properties and it specialises in facilities for technology-oriented businesses ,neutral
946, and it had net sales of about EUR 70mn in 2007 ,neutral
947,The company specialises in temporary electrification and heating at construction sites ,neutral
948, while food manufacturers are still relatively small ,neutral
949,Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color ,neutral
950, the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars ,neutral
951,Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V ,neutral
952,Name of Company in which holdings have been acquired : Citycon Oyj 2 ,neutral
953, according to Bloomberg ,neutral
954, Finland ,neutral
955, will be separated into a new reporting segment as of 1 January 2009 ,neutral
956, the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement ,neutral
957,19 per cent of the share capital and voting rights ,neutral
958,In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari ,neutral
959, the company added ,neutral
960,000 employees ,neutral
961,The price will be specified at the completion date ,neutral
962, Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 ,neutral
963,The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 ,neutral
964, and Non-Life Insurance ,neutral
965,Basware finances the acquisition with a bank loan ,neutral
966,The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line ,neutral
967,It has80 branches in Finland with annual revenue in Finland of ,neutral
968,000 Series K shares ,neutral
969, accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights ,neutral
970,The issuer is solely responsible for the content of this announcement ,neutral
971, Manufacturing & Retail ,neutral
972, southern Finland and has 16 employees ,neutral
973,Union and company officials did not return calls yesterday ,neutral
974, floorball sticks and antenna radomes ,neutral
975,The estimated annual value of the frame agreement is about EUR 50mn ,neutral
976, '' she said ,neutral
977, energy distribution and municipalities ,neutral
978,Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher ,neutral
979,Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market ,neutral
980,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS ,neutral
981,Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide ,neutral
982,Raisio is the site of the main production plants as well as company headquarters ,neutral
983, says he will contact the management of Finnish company Componenta to find out if there are any alternatives to the company 's decision to close down its plant in +ï¿½m+ï¿½l ,neutral
984,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab ,neutral
985,2007,neutral
986,`` This could be us ,neutral
987,- Profit before taxes was EUR 105.9 82.7 million ,neutral
988, Eng ,neutral
989,0,neutral
990, Teterboro and Stewart International ,neutral
991,Stora Enso will receive a 19.9 pct equity interest in the combined company ,neutral
992,2007,neutral
993,About Dopplr Dopplr is a service for smart travellers ,neutral
994,800 sq m. A total 25.1 % of the facilities have been let ,neutral
995, reaching the Vostochny port ,neutral
996,The expanded plant is scheduled to be operational by the middle of October 2009 ,neutral
997,The transaction value is CAD 15 million approximately EUR 10 million ,neutral
998, says the Group 's structural reorganisation will continue for at least a year ,neutral
999,The agreement must be approved by the Russian competition authorities before it enters into force ,neutral
1000, Sachs & Co. ,neutral
1001,Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland ,neutral
1002, which will be organized in two different streams for treating ore in the Pilanesberg platinum mine ,neutral
1003,4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. ,neutral
1004, and other industries under the Biohit brand ,neutral
1005, local assembly of filters and after market services in China ,neutral
1006,Its market share is 6 percent according to AC Nielsen 's 2008 data ,neutral
1007,The number of customers is one of the most important parameters in determining the price of electricity networks ,neutral
1008, who will transfer to the new company as so-called old employees ,neutral
1009, as collated by AFX News from a range of market sources ,neutral
1010, following the resignation of Mats Eriksson ,neutral
1011,Arena Partners Oy is a development company for electronic business ,neutral
1012,The group 's net sales in 2007 were EUR683 .6 m,neutral
1013, the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland ,neutral
1014, Stefan said ,neutral
1015,Kesko has previously published a stock exchange release concerning the deal on 7 February 2007 ,neutral
1016, opinions or distributions ,neutral
1017,An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET ,neutral
1018,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. ,neutral
1019,Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format ,neutral
1020, making up 0.1 percent of Slovakia 's total imports ,neutral
1021, Etteplan had turnover of EUR125 .2 m,neutral
1022,500 persons ,neutral
1023,The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones ,neutral
1024,0,neutral
1025, Sabharwal Ashutosh and Aazhang Behnaam ,neutral
1026, and the Hartford Wolf Pack hockey team ,neutral
1027, forestry and infrastructure & environment sectors ,neutral
1028, in particular ,neutral
1029, and brief profiles of other major players ,neutral
1030, tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis ,neutral
1031, and the fish comes from Canada and Finland ,neutral
1032,The plant will collect raw material from the Baltic Sea region ,neutral
1033,COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively ,neutral
1034,`` Serving customers locally is one of the cornerstones of customer focus for us ,neutral
1035, support and planning for Tecnotree and third-party applications ,neutral
1036,Rubin says he expects Capman to announce 1-2 additional transactions in 2009 ,neutral
1037,Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division ,neutral
1038, who has decided to leave TeliaSonera ,neutral
1039,The presentation material can be viewed on the company 's website in English after the conference ,neutral
1040,Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation ,neutral
1041,Currently the quarterly applied surcharges differ significantly from the actual market prices ,neutral
1042, Manufacturing and Fulfillment services ,neutral
1043, meetings and filed comments on the issues of greatest importance to the competitive sector of our industry ,neutral
1044, 2006 the share subscription price under B option right is EUR 10.22 per share ,neutral
1045,It will report full-year results on August 22 ,neutral
1046, the most important reason for the transaction is Russia ,neutral
1047, expandable through the Micro Secure Digital slot ,neutral
1048, as well as cranes and loaders ,neutral
1049, the measure is above all due to the employment situation ,neutral
1050,Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland ,neutral
1051, develops messaging and charging solutions for telecomms operators and service providers worldwide ,neutral
1052, the industry 's starting point has been the consumers ' needs ,neutral
1053, life science and real estate funds with approximately EUR2 .6 bn in total capital ,neutral
1054, Reuters reported ,neutral
1055, which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities ,neutral
1056,2009,neutral
1057, and deliveries ,neutral
1058, as well as by iterating the places of the peeling axes and simulating the peeling process ,neutral
1059, 1-9/2007 and profit before taxes was EUR 1.2 1.4 million ,neutral
1060, AVC Systemhaus had net sales of EUR 10 million USD 7.1 m ,neutral
1061,Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. ,neutral
1062,The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company ,neutral
1063,`` They want my credit card info and my personal details ,neutral
1064, where the present management of the plastics business is a co-owner ,neutral
1065, Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo ,neutral
1066,Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories ,neutral
1067,Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards ,neutral
1068, is expressly prohibited without the prior written consent of AFX News ,neutral
1069, which generated revenues of EUR2 .4 m USD3 .3 m in 2010 ,neutral
1070, will finish by the end of the year ,neutral
1071, France ) ,neutral
1072, in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila ,neutral
1073, an Austrian with experience in the winter sports goods business ,neutral
1074,The value of the order is nearly EUR400m ,neutral
1075, Elcoteq Finland Oy and Elcoteq Design Center Oy ,neutral
1076, Zain Bahrain ,neutral
1077,Customers in a wide range of industries use our stainless steel and services worldwide ,neutral
1078,The firm builds components for mobile phones and other communications products ,neutral
1079,Competition authorities will have to approve the deal before it can be finalized ,neutral
1080, and it consists of design services and hardware and software licences ,neutral
1081, an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel ,neutral
1082, and Dutch ING ( AMS : INGA ) as co-arranger ,neutral
1083,The company then said it will focus its resources on clinical research ,neutral
1084,No other ev3 devices were involved in this action ,neutral
1085, let to around 140 tenants of which two of the largest are the Swedish government and Ericsson ,neutral
1086,The phones are targeted at first time users in growth markets ,neutral
1087,Production is scheduled to start by the end of April 2007 ,neutral
1088, and the remaining sum in 2012 ,neutral
1089,Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 ,neutral
1090,The solid fuel is heated before sludge is mixed therein . ',neutral
1091,It was decided that the auditors are reimbursed according to invoice ,neutral
1092, the company added ,neutral
1093, have taken effect ,neutral
1094,com and possibly also through photo-msn ,neutral
1095, Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities ,neutral
1096, while sales take place in rubles ,neutral
1097,Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 ,neutral
1098,Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' ,neutral
1099, EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board ,neutral
1100,The company did not distribute a dividend in 2005 ,neutral
1101, will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group ,neutral
1102,The building will house product development and test laboratories ,neutral
1103,`` We know there are some of our own people out there . ',neutral
1104,Coffee will be served starting at 14:30 EET as well as after the event ,neutral
1105, Sampo 's stake in Nordea was 19.45 % ,neutral
1106, as well as nine pushers and barges ,neutral
1107,We offer our customers solutions based on renewable raw materials ,neutral
1108,Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention ,neutral
1109,No changes in media activity were seen in October compared with September ,neutral
1110,Activities range from the development of natural resources to the retailed marketing of finished products ,neutral
1111, which then uses the address location to access the appliance control module ,neutral
1112, tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. ,neutral
1113,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year ,neutral
1114,860,neutral
1115,The value of the orders is over EUR 10mn ,neutral
1116,To see a slide show of all the newest product releases from Fiskars ,neutral
1117,The total investment in 2006 and 2007 is expected to amount to about EUR75m ,neutral
1118,The agreement includes application maintenance and support services ,neutral
1119, Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn ,neutral
1120, the brewer said ,neutral
1121,The issuer is solely responsible for the content of this announcement ,neutral
1122,The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News ,neutral
1123,2007,neutral
1124,The studies are expected to start in 2008 ,neutral
1125, systems integration and electronics ,neutral
1126, and operates in Finland ,neutral
1127, converting materials and wood products ,neutral
1128,They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi ,neutral
1129,Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving ,neutral
1130, as well as the Finnish state pension fund VER 0.61 % ,neutral
1131,000 barrels a day ,neutral
1132, raw data traffic and any type of content services in both mobile and fixed networks ,neutral
1133,Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan ,neutral
1134,Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia ,neutral
1135,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 ,neutral
1136,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB ,neutral
1137, Kazan and Rostov-on-Don ,neutral
1138,Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai ,neutral
1139,Investment management and investment advisory services are the company 's sole line of business ,neutral
1140,Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors ,neutral
1141,000 square metres ,neutral
1142, designs high-performance antennas for portable wireless devices ,neutral
1143, Finland ,neutral
1144,The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 ,neutral
1145,Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland ,neutral
1146,The output of the contracts totals 72 MWe ,neutral
1147,The business area 's net sales were slightly over 2m in 2006 ,neutral
1148,Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing ,neutral
1149, whereas the energy industry accounted for 28 percent and other industries for 8 percent ,neutral
1150, Ivory Coast and the delivery is scheduled to start in March 2010 ,neutral
1151,The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China ,neutral
1152, and supported by its Nokia NetAct network and service management system ,neutral
1153, road and housing construction ( project Swedish Krona ) ,neutral
1154,The estimated value of the deal is USD 9.2 million ,neutral
1155,600 tons of alumina per day ,neutral
1156,0,neutral
1157,Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 ,neutral
1158,000 tonnes of pulp ,neutral
1159, however ,neutral
1160,The appointments will be in force until the new CEO has been appointed ,neutral
1161,2008,neutral
1162, 8 February 2007 ,neutral
1163, USA ,neutral
1164,The share subscription period will expire on 30 September 2007 ,neutral
1165,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI ,neutral
1166,The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 ,neutral
1167,The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes ,neutral
1168,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com ,neutral
1169, and his job in this division will be continued by Marek Hintze ,neutral
1170,000 sq m. It will also include apartments ,neutral
1171,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir ,neutral
1172,Net investment incom,neutral
1173,The value of the three-year contract is estimated at EUR40m ,neutral
1174,Marimekko is considering further measures in the matter ,neutral
1175, and each of them has a dedicated team ,neutral
1176,The financial details of the acquisition were not disclosed ,neutral
1177,The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles ,neutral
1178,The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds ,neutral
